八王之乱   ba1 wang2 zhi1 luan4
霸王之资   ba4 wang2 zhi1 zi1
拔犀擢象   ba2 xi1 zhuo2 xiang4
拔辖投井   ba2 xia2 tou2 jing3
八仙过海   ba1 xian1 guo4 hai3
拔新领异   ba2 xin1 ling3 yi4
把薪助火   ba3 xin1 zhu4 huo3
八音迭奏   ba1 yin1 die2 zou4
八音遏密   ba1 yin1 e4 mi4
八音领袖   ba1 yin1 ling3 xiu4
拔宅飞升   ba2 zhai2 fei1 sheng1
拔宅上升   ba2 zhai2 shang4 sheng1
拔赵易汉   ba2 zhao4 yi4 han4
拔着短筹   ba2 zhe0 duan3 chou2
八珍玉食   ba1 zhen1 yu4 shi2
拔帜树帜   ba2 zhi4 shu4 zhi4
拔帜易帜   ba2 zhi4 yi4 zhi4
跋烛之咨   ba2 zhu2 zhi1 zi1
八砖学士   ba1 zhuan1 xue2 shi4
八字打开   ba1 zi4 da3 kai1
八字门楼   ba1 zi4 men2 lou2
八座尚书   ba1 null shang4 shu1
摆八卦阵   bai3 ba1 gua4 zhen4
百八真珠   bai3 ba1 zhen1 zhu1
白白朱朱   bai2 bai2 zhu1 zhu1
百般刁难   bai3 ban1 diao1 nan4
百般奉承   bai3 ban1 feng4 cheng2
百般抚慰   bai3 ban1 fu3 wei4
百般无赖   bai3 ban1 wu2 lai4
百般折磨   bai3 ban1 zhe2 mo2
百宝万货   bai3 bao3 wan4 huo4
百弊丛生   bai3 bi4 cong2 sheng1
白璧青蝇   bai2 bi4 qing1 ying2
白璧三献   bai2 bi4 san1 xian4
白璧微瑕   bai2 bi4 wei1 xia2
白璧无瑕   bai2 bi4 wu2 xia2
百步穿杨   bai3 bu4 chuan1 yang2
百不当一   bai3 bu4 dang1 yi1
百不获一   bai3 bu4 huo4 yi1
百不失一   bai3 bu4 shi1 yi1
败不旋踵   bai4 bu4 xuan2 zhong3
百不一存   bai3 bu4 yi1 cun2
百不一贷   bai3 bu4 yi1 dai4
百不一遇   bai3 bu4 yi1 yu4
败材伤锦   bai4 cai2 shang1 jin3
白草黄云   bai2 cao3 huang2 yun2
百城之富   bai3 cheng2 zhi1 fu4
柏成子高   bai3 cheng2 zi3 gao1
百尺竿头   bai3 chi3 gan1 tou2
白齿青眉   bai2 chi3 qing1 mei2
百尺无枝   bai3 chi3 wu2 zhi1
百虫将军   bai3 chong2 jiang1 jun1
